,Date,Count
73,2022-06-03,1108
103,2022-06-04,972
94,2022-06-05,1035
77,2022-06-06,1084
89,2022-06-07,1050
71,2022-06-08,1117
75,2022-06-09,1087
76,2022-06-10,1085
108,2022-06-11,896
107,2022-06-12,930
99,2022-06-13,1003
92,2022-06-14,1043
68,2022-06-15,1128
72,2022-06-16,1115
100,2022-06-17,990
101,2022-06-18,987
109,2022-06-19,846
105,2022-06-20,968
93,2022-06-21,1035
74,2022-06-22,1105
64,2022-06-23,1132
0,2022-06-24,1942
12,2022-06-25,1478
60,2022-06-26,1148
51,2022-06-27,1188
38,2022-06-28,1232
45,2022-06-29,1211
34,2022-06-30,1251
67,2022-07-01,1129
106,2022-07-02,935
102,2022-07-03,977
90,2022-07-04,1048
62,2022-07-05,1144
63,2022-07-06,1135
54,2022-07-07,1176
41,2022-07-08,1223
85,2022-07-09,1059
78,2022-07-10,1084
42,2022-07-11,1218
36,2022-07-12,1237
35,2022-07-13,1240
43,2022-07-14,1217
66,2022-07-15,1129
86,2022-07-16,1056
91,2022-07-17,1044
28,2022-07-18,1280
30,2022-07-19,1277
15,2022-07-20,1384
14,2022-07-21,1444
39,2022-07-22,1227
29,2022-07-23,1279
22,2022-07-24,1323
8,2022-07-25,1510
7,2022-07-26,1576
9,2022-07-27,1505
5,2022-07-28,1586
10,2022-07-29,1493
13,2022-07-30,1461
11,2022-07-31,1489
6,2022-08-01,1582
1,2022-08-02,1708
4,2022-08-03,1612
3,2022-08-04,1658
2,2022-08-05,1667
27,2022-08-06,1285
37,2022-08-07,1236
16,2022-08-08,1382
24,2022-08-09,1307
25,2022-08-10,1300
31,2022-08-11,1275
26,2022-08-12,1300
56,2022-08-13,1173
81,2022-08-14,1080
65,2022-08-15,1129
18,2022-08-16,1337
33,2022-08-17,1261
17,2022-08-18,1350
53,2022-08-19,1178
96,2022-08-20,1018
97,2022-08-21,1018
61,2022-08-22,1146
50,2022-08-23,1191
21,2022-08-24,1325
19,2022-08-25,1329
40,2022-08-26,1225
87,2022-08-27,1052
95,2022-08-28,1030
47,2022-08-29,1205
32,2022-08-30,1265
49,2022-08-31,1194
46,2022-09-01,1207
59,2022-09-02,1149
98,2022-09-03,1011
104,2022-09-04,969
82,2022-09-05,1079
88,2022-09-06,1052
55,2022-09-07,1174
23,2022-09-08,1321
70,2022-09-09,1118
84,2022-09-10,1061
79,2022-09-11,1084
58,2022-09-12,1166
20,2022-09-13,1325
48,2022-09-14,1198
52,2022-09-15,1184
69,2022-09-16,1127
83,2022-09-17,1076
80,2022-09-18,1083
57,2022-09-19,1168
44,2022-09-20,1215
